system	subtype	description
ABC	abcA	ABC transporter ATP-binding protein
ABC	bmrA	multidrug resistance ABC transporter ATP-binding protein/permease BmrA
ABC	bmrC	multidrug ABC transporter ATP-binding protein BmrC
ABC	bmrD	multidrug resistance ABC transporter ATP-binding protein/permease BmrD
ABC	efrA	multidrug efflux ABC transporter subunit EfrA
ABC	efrB	multidrug efflux ABC transporter subunit EfrB
ABC	efrC	multidrug ABC transporter ATP-binding protein/permease ErfC
ABC	efrD	multidrug ABC transporter ATP-binding protein/permease ErfD
ABC	efrE	ABC transporter ATP-binding protein
ABC	efrF	ABC transporter ATP-binding protein
ABC	etsA	macrolide efflux RND transporter periplasmic adaptor subunit EtsA
ABC	etsB	MacB family efflux pump subunit
ABC	horA	horA
ABC	horC	YhgE/Pip domain-containing protein
ABC	lmrA	RecName: Full=Multidrug resistance ABC transporter ATP-binding and permease protein
ABC	lmrA	multidrug efflux ABC transporter LmrA
ABC	lmrC	multidrug efflux ABC transporter LmrCD subunit C
ABC	lmrD	multidrug efflux ABC transporter LmrCD subunit D
ABC	macA	MacA family efflux pump subunit
ABC	macA	efflux RND transporter periplasmic adaptor subunit
ABC	macA	macrolide transporter subunit MacA
ABC	macB	MacB family efflux pump subunit
ABC	macB	macrolide ABC transporter ATP-binding protein/permease MacB
ABC	patA	SatA
ABC	patA	multidrug efflux ABC transporter subunit PatA
ABC	patB	ABC transporter ATP-binding/membrane spanning protein - unknown substrate
ABC	patB	SatB
ABC	patB	multidrug efflux ABC transporter subunit PatB
ABC	ranA	multidrug efflux ABC transporter ATP-binding subunit RanA
ABC	ranB	multidrug efflux ABC transporter permease subunit RanB
ABC	smaA	putative HlyD family secretion protein
ABC	smaB	MacB family efflux pump subunit
ABC	smdA	SmdA family multidrug ABC transporter permease/ATP-binding protein
ABC	smdA	multidrug efflux ABC transporter permease/ATP-binding subunit SmdA
ABC	smdB	SmdB family multidrug efflux ABC transporter permease/ATP-binding protein
ABC	smdB	multidrug efflux ABC transporter permease/ATP-binding subunit SmdB
ABC	smdB	multidrug efflux pump SmdB
ABC	smrA	multidrug efflux ABC transporter SmrA
ABC	vcaM	ABC-type multidrug efflux pump
ABC	vcaM	multidrug efflux ABC transporter VcaM
ABC	ybhF	ATP-binding cassette domain-containing protein
ABC	ybhR	ABC transporter permease
ABC	ybhS	ABC transporter permease
ABC	yddA	ABC transporter ATP-binding protein/permease
MATE	abeM	multidrug efflux MATE transporter AbeM
MATE	bexA	multidrug efflux MATE transporter BexA
MATE	cdeA	multidrug efflux MATE transporter CdeA
MATE	emmdR	MATE efflux family protein
MATE	emmdR	multidrug efflux MATE transporter EmmdR
MATE	fepA	multidrug efflux MATE transporter FepA
MATE	hmrM	sodium-coupled multidrug efflux MATE transporter HmrM
MATE	ketM	MdtK family multidrug efflux MATE transporter
MATE	mdtK	MdtK family multidrug efflux MATE transporter
MATE	mdtK	multidrug efflux MATE transporter MdtK
MATE	mepA	multidrug efflux MATE transporter MepA
MATE	mmp	MATE family efflux transporter Mmp
MATE	norM	MATE family efflux transporter
MATE	norM	NorM
MATE	norM	multidrug efflux MATE transporter NorM
MATE	norM	sodium-coupled multidrug efflux MATE transporter NorM
MATE	pdrM	sodium-coupled multidrug efflux MATE transporter PdrM
MATE	pmpM	proton-coupled multidrug efflux MATE transporter PmpM
MATE	vcmA	sodium-coupled multidrug efflux MATE transporter VcmA
MATE	vcmB	MATE family efflux transporter
MATE	vcmD	MATE family efflux transporter DinF
MATE	vcmH	MATE family efflux transporter
MATE	vcmN	MATE family efflux transporter
MATE	vcrM	sodium-coupled multidrug efflux MATE transporter VcrM
MATE	yoeA	MATE family efflux transporter
MFS	aadT	multidrug efflux MFS transporter AadT
