type	subtype	name	evidence	symbol	identifier	count
aminocoumarin	novA	NovA family novobiocin export ABC transporter	NBR006897	NA	NA	52
aminoglycoside	aac(2')-I	aminoglycoside N-acetyltransferase AAC(2')-Ia	NF000108.1	aac(2')-Ia	NA	6
aminoglycoside	aac(2')-I	aminoglycoside N-acetyltransferase AAC(2')-Ib	NF000010.1	aac(2')-Ib	NA	38
aminoglycoside	aac(2')-I	aminoglycoside N-acetyltransferase AAC(2')-Ic	NF000034.1	aac(2')-Ic	NA	25
aminoglycoside	aac(2')-I	aminoglycoside N-acetyltransferase AAC(2')-Id	NF000042.1	aac(2')-Id	NA	2
aminoglycoside	aac(2')-II	kasugamycin N-acetyltransferase AAC(2')-IIa	NF000100.2	aac(2')-IIa	NA	5
aminoglycoside	aac(2')-II	kasugamycin N-acetyltransferase AAC(2')-IIb	NF033472.1	aac(2')-IIb	NA	118
aminoglycoside	aac(3)*	aminoglycoside 3-N-acetyltransferase	NF033082.0	aac(3)	NA	1361
aminoglycoside	aac(3)-I	AAC(3)-I family aminoglycoside N-acetyltransferase	NF033083.0	NA	NA	786
aminoglycoside	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ia	NBR011598	aac(3)-Ia	NA	5
aminoglycoside	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Id	NBR011601	aac(3)-Id	NA	1
aminoglycoside	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-If	NBR011602	aac(3)-If	NA	1
aminoglycoside	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ih	NBR011603	aac(3)-Ih	NA	6
aminoglycoside	aac(3)-I	aminoglycoside N-acetyltransferase AAC(3)-Ii	NBR011604	aac(3)-Ii	NA	1
aminoglycoside	aac(3)-II	aminoglycoside N-acetyltransferase AAC(3)-IIa	NBR011605	aac(3)-IIa	NA	1
aminoglycoside	aac(3)-II	aminoglycoside N-acetyltransferase AAC(3)-IId	NBR011608	aac(3)-IId	NA	49
aminoglycoside	aac(3)-II	aminoglycoside N-acetyltransferase AAC(3)-IIe	NBR011609	aac(3)-IIe	NA	44
aminoglycoside	aac(3)-II	aminoglycoside N-acetyltransferase AAC(3)-IIg	NBR012242	aac(3)-IIg	NA	4
aminoglycoside	aac(3)-III	aminoglycoside N-acetyltransferase AAC(3)-IIIa	NBR011611	aac(3)-IIIa	NA	2
aminoglycoside	aac(3)-IV	AAC(3)-IV family aminoglycoside N-acetyltransferase	NF033081.0	aac(3)-IV	NA	78
aminoglycoside	aac(3)-IV	aminoglycoside N-acetyltransferase AAC(3)-IVa	NBR011610	aac(3)-IVa	NA	46
