type	subtype	ref	desc
albicidin	albA	REF|albicidin|albA|AAM93193.1	
albicidin	albB	REF|albicidin|albB|AAA75292.1	
albicidin	albD	REF|albicidin|albD|AAB71813.1	albicidin detoxification enzyme
albicidin	albF	REF|albicidin|albF|AAL01877.1	MFS transporter
albicidin	albG	REF|albicidin|albG|CAE52332.1	
aminoglycoside	aac(2')-I	NCBI|amr:amr|aminoglycoside|aac(2')-I(A267)|WP_025297907.1	aminoglycoside N-acetyltransferase AAC(2')-I(A267)
aminoglycoside	aac(2')-I	NCBI|amr:amr|aminoglycoside|aac(2')-Ia|WP_004918308.1	aminoglycoside N-acetyltransferase AAC(2')-Ia
aminoglycoside	aac(2')-I	NCBI|amr:amr|aminoglycoside|aac(2')-Ib|WP_003881640.1	aminoglycoside N-acetyltransferase AAC(2')-Ib
aminoglycoside	aac(2')-I	NCBI|amr:amr|aminoglycoside|aac(2')-Ic|WP_003899880.1	aminoglycoside N-acetyltransferase AAC(2')-Ic
aminoglycoside	aac(2')-I	NCBI|amr:amr|aminoglycoside|aac(2')-Id|WP_011726942.1	aminoglycoside N-acetyltransferase AAC(2')-Id
aminoglycoside	aac(2')-I	NCBI|amr:amr|aminoglycoside|aac(2')-Ie|WP_010908954.1	aminoglycoside N-acetyltransferase AAC(2')-Ie
aminoglycoside	aac(2')-II	NCBI|amr:amr|aminoglycoside|aac(2')-IIa|WP_063839881.1	kasugamycin N-acetyltransferase AAC(2')-IIa
aminoglycoside	aac(2')-II	NCBI|amr:amr|aminoglycoside|aac(2')-IIb|WP_071224044.1	kasugamycin N-acetyltransferase AAC(2')-IIb
aminoglycoside	aac(3)*	NCBI|amr:amr|aminoglycoside|aac(3)-C1264|WP_034000523.1	aminoglycoside N-acetyltransferase AAC(3)-C1264
aminoglycoside	aac(3)*	NCBI|amr:amr|aminoglycoside|aac(3)-C322|WP_044061792.1	aminoglycoside N-acetyltransferase AAC(3)-C322
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_002089484.1	aminoglycoside N-acetyltransferase AAC(3)-Ia
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_022542381.1	aminoglycoside N-acetyltransferase AAC(3)-Ia
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_032491356.1	aminoglycoside N-acetyltransferase AAC(3)-Ia
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_032492247.1	aminoglycoside N-acetyltransferase AAC(3)-Ia
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_063840257.1	aminoglycoside N-acetyltransferase AAC(3)-Ia
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_063840258.1	aminoglycoside N-acetyltransferase AAC(3)-Ia
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_063840259.1	aminoglycoside N-acetyltransferase AAC(3)-Ia
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ib|WP_010792467.1	aminoglycoside N-acetyltransferase AAC(3)-Ib
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ib|WP_079459897.1	aminoglycoside N-acetyltransferase AAC(3)-Ib
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ic|WP_034006142.1	aminoglycoside N-acetyltransferase AAC(3)-Ic
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Id|WP_003155734.1	aminoglycoside N-acetyltransferase AAC(3)-Id
