type	subtype	sarg	source	description	ko	definition
albicidin	albD	SARG|albicidin|albD|AAB71813.1	REF|albicidin|albD|AAB71813.1	albicidin detoxification enzyme	K07002	serine hydrolase
albicidin	albF	SARG|albicidin|albF|WP_080934279.1	REF|albicidin|albF|AAL01877.1	MFS transporter	K08166	MFS transporter, DHA2 family, methylenomycin A resistance protein
albicidin	albG	SARG|albicidin|albG|WP_012916028.1	REF|albicidin|albG|CAE52332.1	pentapeptide repeat-containing protein	K18555	fluoroquinolone resistance protein
aminocoumarin	couR	SARG|aminocoumarin|couR|WP_109005058.1	REF|aminocoumarin|couR|AAG29799.1	MFS transporter	K08166	MFS transporter, DHA2 family, methylenomycin A resistance protein
aminocoumarin	novA	SARG|aminocoumarin|novA|WP_069626133.1	REF|aminocoumarin|novA|AAF67494.2	NovA family novobiocin export ABC transporter	K06147*	ATP-binding cassette, subfamily B, bacterial
aminoglycoside	aac(2')*	SARG|aminoglycoside|aac(2')*|WP_381528018.1	REF|aminoglycoside|aac(2')*|BAD22574.1	GNAT family N-acetyltransferase	K17840*	aminoglycoside 2'-N-acetyltransferase I
aminoglycoside	aac(2')-I	SARG|aminoglycoside|aac(2')-I|WP_003881640.1	NCBI|amr:amr|aminoglycoside|aac(2')-Ib|WP_003881640.1	aminoglycoside N-acetyltransferase AAC(2')-Ib	K17840*	aminoglycoside 2'-N-acetyltransferase I
aminoglycoside	aac(2')-I	SARG|aminoglycoside|aac(2')-I|WP_003899880.1	NCBI|amr:amr|aminoglycoside|aac(2')-Ic|WP_003899880.1	aminoglycoside N-acetyltransferase AAC(2')-Ic	K17840*	aminoglycoside 2'-N-acetyltransferase I
aminoglycoside	aac(2')-I	SARG|aminoglycoside|aac(2')-I|WP_004918308.1	NCBI|amr:amr|aminoglycoside|aac(2')-Ia|WP_004918308.1	aminoglycoside N-acetyltransferase AAC(2')-Ia	K17840*	aminoglycoside 2'-N-acetyltransferase I
aminoglycoside	aac(2')-I	SARG|aminoglycoside|aac(2')-I|WP_010908954.1	NCBI|amr:amr|aminoglycoside|aac(2')-Ie|WP_010908954.1	aminoglycoside N-acetyltransferase AAC(2')-Ie	K17840*	aminoglycoside 2'-N-acetyltransferase I
aminoglycoside	aac(2')-I	SARG|aminoglycoside|aac(2')-I|WP_011726942.1	NCBI|amr:amr|aminoglycoside|aac(2')-Id|WP_011726942.1	aminoglycoside N-acetyltransferase AAC(2')-Id	K17840*	aminoglycoside 2'-N-acetyltransferase I
aminoglycoside	aac(2')-I	SARG|aminoglycoside|aac(2')-I|WP_025297907.1	NCBI|amr:amr|aminoglycoside|aac(2')-I(A267)|WP_025297907.1	aminoglycoside N-acetyltransferase AAC(2')-I(A267)	K17840*	aminoglycoside 2'-N-acetyltransferase I
aminoglycoside	aac(2')-II	SARG|aminoglycoside|aac(2')-II|WP_063839881.1	NCBI|amr:amr|aminoglycoside|aac(2')-IIa|WP_063839881.1	kasugamycin N-acetyltransferase AAC(2')-IIa	K06976	uncharacterized protein
aminoglycoside	aac(2')-II	SARG|aminoglycoside|aac(2')-II|WP_071224044.1	NCBI|amr:amr|aminoglycoside|aac(2')-IIb|WP_071224044.1	kasugamycin N-acetyltransferase AAC(2')-IIb	K06976	uncharacterized protein
aminoglycoside	aac(3)*	SARG|aminoglycoside|aac(3)*|WP_034000523.1	NCBI|amr:amr|aminoglycoside|aac(3)-C1264|WP_034000523.1	aminoglycoside N-acetyltransferase AAC(3)-C1264	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)*	SARG|aminoglycoside|aac(3)*|WP_044061792.1	NCBI|amr:amr|aminoglycoside|aac(3)-C322|WP_044061792.1	aminoglycoside N-acetyltransferase AAC(3)-C322	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_002089484.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_002089484.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_003155734.1	NCBI|amr:amr|aminoglycoside|aac(3)-Id|WP_003155734.1	aminoglycoside N-acetyltransferase AAC(3)-Id	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_010792467.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ib|WP_010792467.1	aminoglycoside N-acetyltransferase AAC(3)-Ib	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_011270148.1	NCBI|amr:amr|aminoglycoside|aac(3)-I|WP_011270148.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_011468318.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ig|WP_011468318.1	aminoglycoside N-acetyltransferase AAC(3)-Ig	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_011540937.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ii|WP_011540937.1	aminoglycoside N-acetyltransferase AAC(3)-Ii	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_011749610.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ih|ABL71428.1	aminoglycoside N-acetyltransferase AAC(3)-Ih	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_022542381.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_022542381.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	K03395*	aminoglycoside 3-N-acetyltransferase I
